TLA NAME,CRASH ROAD,CRASH DIST,CRASH DIRN,INTSN,SIDE ROAD,CRASH ID,CRASH DATE,CRASH DOW,CRASH TIME,MVMT,VEHICLES,CAUSES,OBJECTS STRUCK,ROAD CURVE,ROAD WET,LIGHT,WTHRa,JUNC TYPE,TRAF CTRL,ROAD MARK,SPD LIM,CRASH FATAL CNT,CRASH SEV CNT,CRASH MIN CNT,PERS AGE1,PERS AGE2,EASTING,NORTHING,Latitude,Longitude
Auckland,ATKINS ROAD,, ,I,OCEAN VIEW ROAD,201531797,01/01/2015,Thu,200,CC,4E1,130A 402A ,F,R,D,DN,F ,T,N,N,100,0,0,0,,,1746859,5992483,-36.2013394,174.6335511
Auckland,AVENUE ROAD,, ,I,WATER ST,201510424,01/01/2015,Thu,40,BC,CE1VC,111A 122A ,M,R,W,DO,F ,T,S,C,50,0,0,1,,,1764789,5909992,-36.94172971,174.85055842
Auckland,BEACH ROAD,, ,I,MAHUHU CRESCENT,201530071,01/01/2015,Thu,50,LB,VS1C,303B 375B ,,R,W,DO,L ,M,G,C,50,0,0,0,,,1758142,5920582,-36.84745063,174.77373674
Auckland,CAUSEWAY ROAD,, ,I,SHELLY BEACH ROAD,201531926,01/01/2015,Thu,2140,DB,CS1,131A ,T,E,D,DO,F ,T,G,C,50,0,0,0,,,1781547,5925482,-36.79910086,175.03493916
Auckland,COSGRAVE ROAD,230,N, ,FERNAIG ST,201531232,01/01/2015,Thu,515,CC,CN1,103A 130A ,,R,D,DN,F , , ,C,80,0,0,0,,,1773903,5897866,-37.04933648,174.95565117
Auckland,DOMINION ROAD,150,N, ,COLEMAN AVENUE,201530375,01/01/2015,Thu,1720,CC,CS1C,103A 130A ,M,R,D,B ,F , , ,C,50,0,0,0,,,1755107,5914056,-36.90675579,174.74104488
Auckland,GLENVIEW ROAD,, ,I,GREAT NORTH ROAD,201530385,01/01/2015,Thu,630,DA,CS2,103A 111A 131A 402A ,F,E,D,O ,F ,X,T,C,50,0,0,0,,,1747481,5914715,-36.90204113,174.65534956
Auckland,GRAY AVENUE,100,S, ,MASSEY ROAD,201510393,01/01/2015,Thu,749,EA,4N1C,101A 129A ,M,R,D,B ,F , , ,C,50,0,0,1,,,1763137,5907927,-36.9606227,174.83246113
Auckland,HIBISCUS COAST HIGHWAY,40,S, ,WHANGAPARAOA ROAD,201530831,01/01/2015,Thu,2000,AC,CS1C,372A ,,E,D,BF,F , ,N,C,70,0,0,0,,,1750680,5946661,-36.6136741,174.68493206
Auckland,KELWYN ROAD,50,S, ,BEAUBANK ROAD,201530866,01/01/2015,Thu,1556,EA,CS1C,103A 129A ,M,R,D,BF,F , ,N,C,50,0,0,0,,,1748713,5915087,-36.89849569,174.66909938
Auckland,MANGERE ROAD,50,W, ,WALMSLEY ROAD,201530224,01/01/2015,Thu,25,AA,CS1C,353A 372A 402A 801 ,,E,W,DO,L , , ,P,50,0,0,0,,,1763651,5908868,-36.95205521,174.83802819
Auckland,MOUNT WELLINGTON HIGHWAY,10,S, ,ROSLYN ROAD,201510134,01/01/2015,Thu,23,BE,CS1C,125A 410A ,,R,W,DO,L ,T,S,R,50,0,0,1,,,1763744,5913574,-36.90963853,174.83805355
Auckland,OWENS ROAD,150,N, ,STOKES ROAD,201510133,01/01/2015,Thu,410,BF,CW1X,111A 402A ,,M,W,DO,L , ,N,C,50,0,0,2,,,1757308,5916961,-36.88021629,174.76513708
Auckland,PURIRI ROAD,40,W, ,CHURCHILL AVENUE,201510592,01/01/2015,Thu,650,CA,CW1C,104A 410A ,,R,D,B ,F , , ,C,50,0,3,0,,,1768706,5900064,-37.03048265,174.89674433
Auckland,SOUTH HEAD ROAD,, ,I,PARKHURST ROAD,201510172,01/01/2015,Thu,746,DA,VE1,103A 111A ,CTV,M,D,B ,F ,T,G,C,100,0,0,1,,,1727085,5942916,-36.65086326,174.42178874
Auckland,SUNNYBRAE ROAD,15,S, ,MARYWIL CRESCENT,201531914,01/01/2015,Thu,1840,CB,CS1C,129A 359A ,M,R,D,BF,F , ,N,P,50,0,0,0,,,1755600,5927155,-36.78864645,174.74389294
Auckland,TAMAKI DRIVE,400,E, ,HAPIMANA ST,201511131,01/01/2015,Thu,1425,EE,SS1C,525B ,M,R,D,B ,F , , ,P,50,0,0,1,,31,1762746,5920796,-36.8447409,174.82530636
Auckland,TUAKAU ROAD,350,S, ,RAY WRIGHT ROAD,201531002,01/01/2015,Thu,200,DB,CS1,131A ,V,M,D,DN,F , ,N,C,100,0,0,0,,,1770056,5877458,-37.2339007,174.91704722
Auckland,TUAKAU ROAD,, ,A,WILLOW ROAD,201510001,01/01/2015,Thu,1020,DB,CN2,102A 111A 131A 402A ,,S,D,B ,F , , ,N,100,0,0,1,,,1776047,5888397,-37.13424182,174.98196997
Auckland,WADDON PLACE,, ,I,MASCOT AVENUE,201531216,01/01/2015,Thu,2230,DB,CN2C,101A 131A 352A ,,R,D,DO,F ,T,G,C,50,0,0,0,,,1760387,5906831,-36.97097029,174.80181813
Auckland,WIRI STATION ROAD,, ,I,ROSCOMMON ROAD,201530824,01/01/2015,Thu,1045,FB,CW1C,181A ,,M,D,BF,F ,T,G,R,60,0,0,0,,,1765070,5902851,-37.00601903,174.85527409
Auckland,16/37/3.161,180,S, ,HUTCHINSON ROAD,201530942,01/01/2015,Thu,440,DA,CN1,131A 412A ,CT,E,W,DN,L , , ,C,100,0,0,0,,,1728277,5935028,-36.72179055,174.43644239
Auckland,1N/414/10.746,400,N, ,SHELLY BEACH OBR,201531229,01/01/2015,Thu,1250,FD,CN1C,181A 331A 351A ,,R,D,B ,F , , ,C,80,0,0,0,,,1755385,5921991,-36.83521216,174.74253889
Auckland,1N/431/6.793,300,N, ,MT WGTN ON NBD,201532157,01/01/2015,Thu,23,CC,CN1,103A 130A ,G,R,D,DO,F , ,N,R,100,0,0,0,,,1763368,5912775,-36.91690268,174.83400726
Auckland,1N/431/12.223,200,S, ,HIGHBROOK ON SBD,201500001,01/01/2015,Thu,619,CB,CS1,103A 177A 532A ,G,R,W,TF,F , ,N,N,100,1,0,0,,,1765757,5908226,-36.95747105,174.86181105
Auckland,1N/448/5.628,, ,I,TAKANINI ON NBD,201510135,01/01/2015,Thu,1615,JA,CN1C,322A 334A ,,R,D,TF,F ,M,T,C,50,0,0,1,,,1769879,5899296,-37.03719033,174.91009895
Central Hawkes Bay District,CLAREINCH ROAD,3400,N, ,POURERERE ROAD,201510014,01/01/2015,Thu,1750,DA,CE1,131A 138A 402A ,EF,M,D,B ,F , , ,N,100,0,0,2,,,1925749,5560534,-40.04252956,176.81807053
Clutha District,1S/746/15.373,20,S, ,COWPER ST,201510301,01/01/2015,Thu,1525,NB,CS1E,105B 711B ,,R,D,B ,F , , ,C,50,0,0,1,71,,1365275,4888313,-46.11837374,169.9621042
Dunedin City,CORSTORPHINE ROAD,50,W, ,MURRAY ST,201510106,01/01/2015,Thu,812,EC,PE1,911 ,W,E,D,B ,F , ,N,C,50,0,0,1,,,1404292,4913848,-45.90107702,170.47699583
Dunedin City,MOUNT ST,30,S, ,SHETLAND ST,201530320,01/01/2015,Thu,120,EA,4S1V,103A 129A 402A ,M,R,D,DO,F , , ,N,50,0,0,0,,,1404629,4918531,-45.85906407,170.48323919
Far North District,KAIMAUMAU ROAD,1000,W, ,LAKE ROAD,201530221,01/01/2015,Thu,1225,BF,VN1T,111A 131A 197B ,,M,D,B ,F , , ,C,100,0,0,0,,,1623495,6135456,-34.92308743,173.25723402
Far North District,PAPARORE ROAD,1200,N, ,SULENTA LOOP ROAD,201510205,01/01/2015,Thu,1815,DA,4N1,101A 197A ,C,M,D,ON,F , ,N,N,100,0,0,1,,,1619674,6126617,-35.00287387,173.21560893
Far North District,WILLIAMS ROAD,15,N, ,SELWYN ROAD,201530216,01/01/2015,Thu,1610,MO,CN1,330A 423A ,C,R,D,B ,F , , ,N,50,0,0,0,,,1699231,6095133,-35.282042,174.09117862
Hauraki District,GOLDEN VALLEY ROAD,, ,I,NGATITANGATA ROAD,201530911,01/01/2015,Thu,1514,DB,CE1,111A 131A 514A ,FJ,S,D,B ,F ,T,G,C,100,0,0,0,,,1856644,5859846,-37.37264129,175.89829456
Hutt City,MARINE DRIVE,10,S, ,MOANA ROAD,201530016,01/01/2015,Thu,1300,MO,CN1C,371A ,M,R,D,B ,F ,T,N,C,50,0,0,0,,,1759643,5428157,-41.28225164,174.90632696
Manawatu District,56/11/4.937,, ,I,TIAKITAHUNA ROAD,201530100,01/01/2015,Thu,155,DC,VS1,113A 350A ,F,R,W,DO,L ,X,G,C,100,0,0,0,,,1812168,5524536,-40.40277212,175.50019969
Napier City,50/3/1.44,, ,I,CARNEGIE ROAD,201530302,01/01/2015,Thu,43,CC,CN1,103A 130A ,KP,R,W,DO,L ,T,T,C,50,0,0,0,,,1934059,5619917,-39.50547324,176.88508693
Nelson City,DRYDEN ST,, ,I,MAIN ROAD STOKE,201530101,01/01/2015,Thu,238,DA,CS2,111A 131A 517A ,F,R,D,DO,F ,T,G,P,50,0,0,0,,,1618715,5425666,-41.32025942,173.22361446
New Plymouth District,CARRINGTON ROAD,2000,S, ,HURWORTH ROAD,201530311,01/01/2015,Thu,804,DA,CS1,131A 412A ,,E,D,B ,F , , ,N,100,0,0,0,,,1691653,5666102,-39.14945848,174.06067217
Opotiki District,FORD ST,, ,I,CHURCH ST,201530306,01/01/2015,Thu,1450,HA,CN2C,191A 321B 335B ,,R,D,B ,F ,T,S,C,50,0,0,0,,,1976203,5784375,-38.01026505,177.2845275
Opotiki District,2/345/5.847,5000,S, ,WAIRATA ROAD,201530304,01/01/2015,Thu,800,DA,4N1,135A 801 901 ,T,E,W,O ,H , , ,C,100,0,0,0,,,1983321,5752791,-38.2911109,177.38236037
Porirua City,APPLE TERRACE,, ,I,JAPONICA CRESCENT,201530225,01/01/2015,Thu,620,DA,CS1,103A 111A 131A ,C,E,D,TF,F ,T,N,N,50,0,0,0,,,1754854,5443208,-41.14767694,174.84535607
Porirua City,1N/1035/5.262,1000,N, ,PA ROAD,201530305,01/01/2015,Thu,1437,CA,CS1,103A 130A ,G,R,D,B ,F , , ,N,80,0,0,0,,,1759940,5456659,-41.0255893,174.9024359
Queenstown-Lakes District,LAKE ESPLANADE,, ,I,FERNHILL ROAD,201530308,01/01/2015,Thu,10,DA,VN2,101A 111A 131A ,EZ,S,W,DO,F ,R,G,R,50,0,0,0,,,1257234,5003666,-45.03748529,168.64818124
Ruapehu District,1N/794/10.569,200,S, ,ACCESS ROAD NO 17,201510366,01/01/2015,Thu,550,CC,CS1,130A 195A 402A 407A 412A ,,R,W,O ,L , , ,C,100,0,1,1,,,1832882,5636198,-39.39230738,175.70422506
South Taranaki District,3/321/1.813,1500,N, ,LOWER TAUMAHA ROAD,201510010,01/01/2015,Thu,1554,DB,CN1,104A 131A 402A ,C,E,D,B ,F , , ,C,100,0,1,0,,,1718971,5610079,-39.65081457,174.38669769
Southland District,PIANO FLAT ROAD,, ,A,PIANO FLAT DOMAIN,201530319,01/01/2015,Thu,230,DB,4N14,103A 111A 131A ,M,E,D,DN,F , , ,N,20,0,0,0,,,1289394,4947740,-45.55451456,169.0204336
Southland District,95/0/8.201,300,N, ,MOUNT YORK ROAD,201510007,01/01/2015,Thu,1920,DB,MS1C,130A 197A 205B 330B 404B ,,E,D,O ,F , , ,C,100,0,0,1,,,1186081,4949616,-45.48402978,167.70333096
Tauranga City,TAINUI ST,70,W, ,TILBY DRIVE,201531671,01/01/2015,Thu,730,EA,VN1C,103A 129A ,MX,E,D,B ,F , , ,N,50,0,0,0,,,1875536,5826976,-37.663062,176.12368371
Tauranga City,THE MALL,10,S, ,COMMONS AVENUE,201510302,01/01/2015,Thu,1248,NB,4S1E,712B 726B ,,R,D,B ,F ,T,G,C,30,0,0,1,4,,1880500,5829841,-37.63577527,176.17878031
Tauranga City,Z PAPAMOA BEACH,300,W, ,PALM BEACH BOULEVARD,201500002,01/01/2015,Thu,1957,CA,4E1,103A 110A 433A ,,R,D,B ,F , ,N,N,100,1,0,0,,,1888801,5823399,-37.69117385,176.27526184
Thames-Coromandel District,25/206/7.359,600,S, ,HILTON DRIVE,201511162,01/01/2015,Thu,1430,DB,CN1,131A 359A 402A ,G,M,D,B ,F , , ,C,70,0,0,1,,,1853969,5876729,-37.22138529,175.86235045
Timaru District,VIRTUE AVENUE,110,E, ,TE WEKA ST,201530709,01/01/2015,Thu,1717,FA,CW14,357A 512A 182B ,,R,D,B ,F , ,N,R,50,0,0,0,,,1460024,5083665,-44.38678077,171.24264953
Waikato District,OTAUA ROAD,100,W, ,MOSELEY ROAD,201530844,01/01/2015,Thu,1030,DA,CE1,131A 358A ,B,E,D,BN,F , ,N,C,100,0,0,0,,,1755725,5870205,-37.30175334,174.75708403
Wairoa District,2/497/1.868,200,S, ,PAPANUI ROADWAY,201510201,01/01/2015,Thu,1,CB,CN1,129A 692A ,C,R,D,DN,F , ,N,L,100,0,0,1,,,2012199,5669776,-39.02388942,177.76071525
Wairoa District,2/516/11.081,3500,W, ,IWITEA ROAD,201510202,01/01/2015,Thu,240,CC,CW1,129A 410A ,C,R,D,DN,F , ,N,C,100,0,0,2,,,1986876,5670846,-39.02583857,177.4684961
Wanganui District,BELL ST,, ,I,LONDON ST,201531245,01/01/2015,Thu,255,DC,CW1,103A 112A ,X,R,D,DO,F ,T,G,C,50,0,0,0,,,1774344,5578946,-39.92165451,175.04005607
Wellington City,CABLE ST,, ,I,BARNETT ST,201530058,01/01/2015,Thu,1429,GB,CE1C,172B 330B ,,R,D,B ,F ,T,N,N,50,0,0,0,,,1749268,5427348,-41.29151999,174.7826949
Whakatane District,2/209/2.361,1800,W, ,HAUONE ROAD,201510210,01/01/2015,Thu,1150,CB,4W1,129A 410A ,C,R,D,BN,F , ,N,C,100,0,0,1,,,1919174,5805524,-37.84189987,176.62697147
Whangarei District,1N/233/7.498,2000,S, ,WAIOTU BLOCK ROAD,201530211,01/01/2015,Thu,1830,CC,CE1,103A 130A ,,R,D,B ,F , , ,C,100,0,0,0,,,1713353,6066162,-35.54170606,174.25046678
Whangarei District,1N/303/11.612,, ,I,ARTILLERY ROAD,201530220,01/01/2015,Thu,1040,FA,CS1C,331A 350A ,,M,D,B ,F ,T,G,C,80,0,0,0,,,1727987,6007494,-36.06872678,174.42125321
Auckland,ACCESS ROAD,950,W, ,WOOKEY LANE,201510802,01/02/2015,Sun,1134,DA,CW1,131A 402A 615A ,PV,M,W,O ,L , , ,C,80,0,1,1,,,1737712,5928082,-36.78306292,174.54331523
Auckland,BRUCE MCLAREN ROAD,, ,I,RAILSIDE AVENUE,201510157,01/02/2015,Sun,1728,DA,CS1,103A 150A ,G,E,D,O ,L ,T,G,C,50,0,0,1,,,1745394,5915987,-36.89090326,174.63168937
Auckland,CAMBRIDGE TERRACE,, ,I,BRIDGE ST,201531003,01/02/2015,Sun,2137,JA,CN1C,302A 375A ,,R,W,DO,L ,T,G,C,50,0,0,0,,,1765182,5904851,-36.98797996,174.85609414
Auckland,CANDIA ROAD,200,N, ,STURGES ROAD,201530370,01/02/2015,Sun,440,DA,CN1,103A 131A ,S,E,D,DN,F , , ,C,70,0,0,0,,,1742144,5916424,-36.8874606,174.59514716
Auckland,COLLEGE ROAD,50,E, ,TONAR ST,201531290,01/02/2015,Sun,345,EA,CW1C,129A ,M,E,D,DO,F , , ,C,50,0,0,0,,,1756269,5926081,-36.7982136,174.75160798
Auckland,COOK ST,10,E, ,NELSON ST,201530451,01/02/2015,Sun,1800,EA,CW1C,386A ,M,R,D,B ,F ,X,G,C,50,0,0,0,,,1756783,5920181,-36.85129023,174.75858338
Auckland,DOMINION ROAD,30,S, ,VIEW ROAD,201510551,01/02/2015,Sun,2115,AC,CN1M,372A ,,R,W,DO,L , , ,C,50,0,0,1,,,1756171,5917852,-36.87237683,174.7522009
Auckland,DUGGAN AVENUE,, ,I,FRIESIAN DRIVE,201510590,01/02/2015,Sun,1250,BF,CW2C,111A 131A 402A ,,M,D,O ,L ,T,G,P,50,0,0,3,,,1760924,5906546,-36.97344644,174.80790892
Auckland,GRAND DRIVE,, ,I,OREWA ON SBD,201531337,01/02/2015,Sun,1149,DA,CE1,130A 330A 427A ,P,M,D,O ,F ,R,G,R,70,0,0,0,,,1748983,5949558,-36.58783538,174.66540182
Auckland,GRAY AVENUE,5,W, ,EARLSWORTH ROAD,201531675,01/02/2015,Sun,920,CC,TE14,101A 130A ,FM,R,D,B ,F ,T,G,C,50,0,0,0,,,1763407,5907556,-36.96391851,174.8355728
Auckland,GREAT SOUTH ROAD,, ,I,MAIN HIGHWAY,201510712,01/02/2015,Sun,1750,GB,SS1C,387A 372B ,,E,D,O ,F ,T,T,R,50,0,0,1,,10,1760327,5915331,-36.89439491,174.79934267
Auckland,JAMES FLETCHER DRIVE,130,E, ,BEACH ROAD,201531676,01/02/2015,Sun,2230,CB,CE1,130A 801 ,F,R,W,DO,L , , ,C,60,0,0,0,,,1762693,5909292,-36.94840103,174.82718223
Auckland,MANUKAU ROAD,100,N, ,MOUNT ALBERT ROAD,201531905,01/02/2015,Sun,1125,MA,CN1CC,373B ,M,R,D,OF,F , ,N,P,50,0,0,0,,,1758204,5913531,-36.91097171,174.77590274
Auckland,MASSEY ROAD,, ,I,IMRIE AVENUE,201532051,01/02/2015,Sun,2130,JA,CE1C,301B 375B 801 ,,R,W,DO,L ,T,S,C,50,0,0,0,,,1761545,5906368,-36.97494378,174.81492049
Auckland,MAY ROAD,, ,I,DENBIGH AVENUE,201532040,01/02/2015,Sun,1201,HA,CW2CC,322B ,,R,D,B ,F ,X,T,C,50,0,0,0,,,1754637,5913896,-36.90827464,174.7358041
Auckland,PORCHESTER ROAD,, ,I,POPES ROAD,201530891,01/02/2015,Sun,1211,GD,CN1C,181A 333A ,,R,D,BF,F ,T,G,C,50,0,0,0,,,1771345,5900037,-37.030248,174.92640534
Auckland,QUEENS DRIVE,100,E, ,HEKERUA ROAD,201530853,01/02/2015,Sun,1145,DA,CW1CC,111A 131A ,M,E,W,OF,L , ,N,C,50,0,0,0,,,1780924,5927185,-36.78387763,175.0275555
Auckland,STANNILAND ST,40,S, ,HEDGE ROW S,201530881,01/02/2015,Sun,2200,EA,CS1C,129A ,M,R,W,DO,L , ,N,C,50,0,0,0,,,1768658,5914616,-36.89938442,174.89295503
Auckland,SYMONDS ST,50,S, ,WATERLOO QUADRANT,201531068,01/02/2015,Sun,1630,FF,CN1C,181A 191B ,,R,D,BF,F , ,N,C,50,0,0,0,,,1757983,5920242,-36.85054074,174.77202487
Auckland,TE ATATU ROAD,150,S, ,TAIKATA ROAD,201531082,01/02/2015,Sun,1953,MO,CN1C,371A ,,R,W,DO,L , ,N,C,50,0,0,0,,,1747272,5921314,-36.84261109,174.65172351
Auckland,16/7/3.944,10,E, ,TE ATATU OFF WBD,201530411,01/02/2015,Sun,1353,FD,4W1C4,331A 353A ,,R,D,O ,F ,T,N,C,100,0,0,0,,,1747506,5919538,-36.85857794,174.65469189
Christchurch City,LINCOLN ROAD,, ,I,MOORHOUSE AVENUE,201530719,01/02/2015,Sun,2124,BE,CN1C,130A 504A ,,M,D,DO,F ,M,T,C,50,0,0,0,,,1569119,5179139,-43.54005694,172.61776633
Christchurch City,MACKWORTH ST,20,N, ,MATLOCK ST,201531719,01/02/2015,Sun,2015,EA,VN1C,410A ,M,R,D,B ,F , , ,C,50,0,0,0,,,1573379,5178810,-43.5431834,172.67047798
Christchurch City,MANCHESTER ST,, ,I,LICHFIELD ST,201510183,01/02/2015,Sun,206,NB,VS1E,105B 716B ,,R,D,DO,F ,X,T,C,50,0,0,1,,,1570885,5179796,-43.53421225,172.63966002
Dunedin City,GREEN ST,, ,I,CHURCH ST,201530352,01/02/2015,Sun,110,DA,CN1,103A 111A 402A ,P,R,W,DO,L ,T,G,C,50,0,0,0,,,1394418,4916250,-45.87660076,170.35086536
Dunedin City,PRINCES ST,, ,I,STAFFORD ST,201532252,01/02/2015,Sun,1445,AD,CN1C,501A ,,R,D,B ,F ,M,T,C,50,0,0,0,,,1406054,4916316,-45.879384,170.50068519
Far North District,TAHEKE ROAD,1100,S, ,MCDONNELL ROAD,201530297,01/02/2015,Sun,700,DA,VS1,111A 131A 517A 801 ,C,M,W,O ,L , , ,N,100,0,0,0,,,1653816,6084236,-35.38376833,173.59252995
Far North District,10/48/2.702,2000,N, ,MATAURI LINK ROAD,201531877,01/02/2015,Sun,1745,DA,CW1,131A 412A 813 817 ,ET,M,W,O ,H , , ,N,100,0,0,0,,,1665056,6119059,-35.06911994,173.71352375
Far North District,1N/104/6.928,15,N, ,WATTS ST,201530298,01/02/2015,Sun,2005,AC,CS1C,372A 387B ,,E,D,TF,F , , ,C,50,0,0,0,,,1623704,6115082,-35.10680157,173.26010326
Gore District,1S/872/5.283,540,S, ,TERRACE ROAD,201531808,01/02/2015,Sun,400,CB,CN1,130A 402A 412A ,F,R,W,DN,L , , ,C,100,0,0,0,,,1277618,4870275,-46.24455202,168.81797566
Hastings District,RUAHAPIA ROAD,10,N, ,OTENE ROAD,201510397,01/02/2015,Sun,930,FE,CS1C,112A 331A ,X,R,D,O ,F ,T,T,C,80,0,0,1,,,1932791,5608142,-39.61182037,176.87626862
Horowhenua District,56/0/5.68,500,S, ,CAMPBELLS ROAD,201532209,01/02/2015,Sun,1645,CC,CS1,130A 412A 812 ,,R,D,O ,L , , ,C,100,0,0,0,,,1807337,5517063,-40.4712525,175.44575821
Hutt City,2/962/6.76,500,N, ,BLOCK ROAD,201531192,01/02/2015,Sun,1615,FA,CS1C,197A 330A 191B ,,R,D,B ,F , ,N,C,100,0,0,0,,,1760328,5437296,-41.19983908,174.91210181
Invercargill City,QUEENS DRIVE,20,S, ,ST ANDREW ST,201531843,01/02/2015,Sun,950,EA,CS1V,129A ,M,R,D,B ,F , , ,C,50,0,0,0,,,1243468,4850588,-46.40411252,168.36143706
Invercargill City,6/1168/6.68,90,N, ,VICTORIA AVENUE,201531807,01/02/2015,Sun,109,CB,CN1C,112A 133A 433A ,M,R,W,DO,L , , ,R,50,0,0,0,,,1242377,4850454,-46.40473857,168.34718801
Kaipara District,1N/319/3.032,50,N, ,BALDROCK ROAD,201532071,01/02/2015,Sun,2240,DB,CN1,111A 131A 800 801 ,V,M,W,DN,L , , ,L,100,0,0,0,,,1729191,6001490,-36.12268136,174.43560358
Kapiti Coast District,GOLF ROAD,, ,I,WHYTE ST,201532447,01/02/2015,Sun,230,DA,CS1,111A 131A 402A ,K,M,W,DO,F ,T,G,N,50,0,0,0,,,1767629,5472029,-40.88566987,174.98968189
Matamata-Piako District,TE POI ROAD,, ,I,24/0/7.865,201510583,01/02/2015,Sun,1405,GC,CS1C,372B ,,R,D,O ,F ,T,G,C,100,0,1,4,,,1849704,5807097,-37.84940727,175.838012
Nelson City,EXETER ST,80,E, ,BARHAM PLACE,201531630,01/02/2015,Sun,1455,CC,CW1,136A 613A 801 ,FX,R,W,O ,L , , ,N,50,0,0,0,,,1619379,5427562,-41.30316518,173.23148771
Palmerston North City,RICHARDSONS LINE,1500,W, ,MILSON LINE,201531355,01/02/2015,Sun,1800,DA,CW1,111A 131A 427A ,V,M,W,O ,L , , ,N,100,0,0,0,,,1822333,5533976,-40.31516265,175.61657999
Palmerston North City,3/474/12.473,50,E, ,HACKETTS ROAD,201531363,01/02/2015,Sun,1330,CC,CW1,133A 801 ,V,R,W,O ,H , , ,C,100,0,0,0,,,1832945,5535360,-40.29981696,175.74083374
Queenstown-Lakes District,6/901/5.294,3000,E, ,PISA ROAD,201500024,01/02/2015,Sun,1750,DB,CW1,101A 131A ,F,E,D,O ,F , ,N,C,100,1,1,0,,,1307856,5037915,-44.75248894,169.3091889
Rangitikei District,PAREWANUI ROAD,500,N, ,RAUMAI ROAD,201531874,01/02/2015,Sun,1800,DB,CN1,111A 130A 402A 800 ,EG,M,W,O ,L , , ,C,100,0,0,0,,,1798717,5547463,-40.19970562,175.3347024
Ruapehu District,47/9/1.4,1400,N, ,SH 48,201532054,01/02/2015,Sun,815,CC,VN1,129A 134A 358A 404A ,X,R,W,B ,F , , ,C,100,0,0,0,,,1816208,5663620,-39.14978455,175.501987
South Waikato District,ARAPUNI ROAD,140,N, ,ARAPUNI DAM,201531611,01/02/2015,Sun,1643,DA,CS1,135A 191A 801 806 ,C,M,W,O ,L , , ,C,100,0,0,0,,,1831452,5781864,-38.0814057,175.63890248
South Waikato District,NGATIRA ROAD,700,W, ,KOKAKO ROAD,201530350,01/02/2015,Sun,2024,DA,CW1,357A 524A ,C,E,W,TN,F , , ,C,100,0,0,0,,,1849094,5778168,-38.109989,175.84111687
South Waikato District,OLD TAUPO ROAD,2040,N, ,MATANUKU ROAD,201510538,01/02/2015,Sun,1810,DA,CS1,111A 131A 801 ,C,M,W,O ,L , , ,C,100,0,0,1,,,1845428,5768786,-38.19544788,175.80258222
South Wairarapa District,2/921/9.116,1350,E, ,RIMUTAKA SUMMIT,201531627,01/02/2015,Sun,1715,DA,CN1,131A 801 ,C,S,W,O ,L , , ,L,100,0,0,0,,,1788449,5446479,-41.11112766,175.24442734
Southland District,94/240/1.052,220,S, ,DEEP WATER BASIN ROAD,201510540,01/02/2015,Sun,,BF,4S1CV,111A 131A 404A ,,M,W,O ,H , , ,C,100,0,1,0,,,1202406,5031008,-44.76370101,167.97603414
Tararua District,MANGAMAIRE ROAD,1000,S, ,TUTAEKARA ROAD,201500026,01/02/2015,Sun,1920,CC,CS1,110A 125A 134A ,P,R,W,TN,L , ,N,C,100,1,0,0,,,1832698,5510357,-40.52488317,175.74707175
Tasman District,6/209/5.191,1200,E, ,GOWAN VALLEY ROAD,201510194,01/02/2015,Sun,1730,DA,CE1,111A 131A ,C,M,W,O ,L , ,N,C,100,0,0,1,,,1563919,5382283,-41.71042751,172.56629308
Thames-Coromandel District,25/24/15.726,250,S, ,ADAMS ROAD,201530489,01/02/2015,Sun,2200,DA,CN1,110A 131A ,C,E,W,DN,L , ,N,C,100,0,0,0,,,1824275,5894993,-37.0645242,175.52253002
Timaru District,MURCHISON DRIVE,20,W, ,MOUNTAIN VIEW ROAD,201532216,01/02/2015,Sun,,EA,CW1C,129A 358A 402A ,M,R,D,DO,F , , ,C,50,0,0,0,,,1456897,5083766,-44.38526129,171.2034379
Timaru District,79/9/4.093,4000,W, ,GERALDINE-ARUNDEL ROAD,201531376,01/02/2015,Sun,2130,CA,CW1,195A ,FV,R,D,TN,F , , ,C,100,0,0,0,,,1459702,5118504,-44.07320559,171.24793707
Timaru District,79/15/0.224,5,W, ,HISLOP ST,201530721,01/02/2015,Sun,1450,MA,CW1C,330B 373B ,,R,D,B ,F ,X,G,C,50,0,0,0,,,1459303,5116253,-44.09338614,171.24235677
Waikato District,KOHEROA OFF NBD,100,E, ,ROOSE ROAD,201531673,01/02/2015,Sun,1342,FA,CN1C,331A ,,R,D,O ,F , , ,N,100,0,0,0,,,1781529,5872109,-37.27992214,175.04761417
Waikato District,TAHUNA ROAD,2000,E, ,TE HOE ROAD,201532458,01/02/2015,Sun,1315,DA,CE1,129A 131A 358A 801 ,C,M,W,O ,L , , ,C,100,0,0,0,,,1806978,5845509,-37.5141779,175.34191583
Waikato District,23/15/10.185,800,E, ,OTONGA VALLEY ROAD,201531172,01/02/2015,Sun,1345,DB,CW1,110A 134A ,V,E,W,O ,L , ,N,C,100,0,0,0,,,1779055,5810918,-37.83160542,175.03466191
Wairoa District,2/544/8.09,1200,E, ,WAIHUA VALLEY ROAD,201530761,01/02/2015,Sun,2145,DA,CN1,131A 150A ,SV,E,D,DN,F , ,N,L,100,0,0,0,,,1971780,5666649,-39.07009693,177.29688925
